"","bank","assets","liabilities","buffer","weights","original_stress","additional_stress","original_losses","additional_losses","additional_defaults"
"1","b1",266508.633114578,21467.258984469,176719.047509414,1643507.05691232,3.62854570825145e-05,6.37909543274116e-06,176719.047509414,21467.258984469,0
"2","b10",3593.87348068581,31049.2123239745,69666.3641098946,215055.858700269,4.74801741701812e-06,3.23558733558975e-05,69666.3641098946,104735.358067831,0
"3","b100",12766.0730545262,15804.1109965315,25357.7582495147,136600.557614258,3.01587611073102e-06,9.55578895614126e-06,25357.7582495147,15804.1109965315,0
"4","b1000",511397.892389055,466472.406208701,4753910.69165325,32042612.4033111,0.000707438907719895,0.450880860199783,4753910.69165325,1858920382.16692,222
"5","b1001",534861.922280984,688709.290061256,2611763.43987123,27340097.2867326,0.0006036164691579,0.451066850329196,2611763.43987123,1859969334.66686,222
"6","b1002",408769.510692113,850344.114247156,3418195.42929409,28037455.5031042,0.000619012789803355,0.450939189743465,3418195.42929409,1859331783.4442,222
"7","b1003",623232.984364222,652209.709007426,1842233.45228788,15821100.2869625,0.000349299294485088,0.451093454072446,1842233.45228788,1861012022.90313,223
"8","b1004",60847.8742239595,394408.172409622,1721174.8944585,15168300.1738331,0.000334886730578656,0.45095263226818,1721174.8944585,1858893815.24065,222
"9","b1005",215818.760404691,149448.575063682,1831450.76040469,15038129.2156818,0.000332012807588473,0.451030051745562,1831450.76040469,1859041108.74707,222
"10","b1006",200294.719245804,262875.425044807,1192493.14670039,8640781.84249253,0.000190771750803538,0.450952297861311,1192493.14670039,1858761895.50472,222
"11","b1007",157075.386525638,309771.01333058,1319634.45734652,13289573.3163946,0.00029340807524302,0.451084060193203,1319634.45734652,1859081006.66769,222
"12","b1008",252575.467463785,3125975.20506018,206836.335479421,5475350.97930559,0.000120885159656419,0.45208256671929,206836.335479421,1866775024.59494,222
"13","b1009",133354.038859508,220306.520042958,641970.505633479,4704683.76684295,0.000103870318165412,0.450951209246445,641970.505633479,1858708836.1741,222
"14","b101",13706.1019940004,1900.26641173705,25186.3095112052,105020.679724722,2.31865348609282e-06,1.14897603509544e-06,25186.3095112052,1900.26641173705,0
"15","b1010",89941.0595539204,80374.670406482,519440.568866406,4266420.37318924,9.41943100859971e-05,0.450968532421594,519440.568866406,1858634156.42278,222
